SKU,nombre_limpio,Existencia,Ventas,Popular,variaciones,,,,,,,,
AAM08L124,Acacia Amarilla,15,4,no,bolsa 8 litros,,,,,,,,
AAM45L009,Acacia Bicapsularis,2,14,no,bolsa 45 litros|bolsa 20 litros,,,,,,,,
AAR11P145,Aloe Arborecente Cosmos,6,2,no,maceta negra 11 pulgadas,,,,,,,,
AAT06L003,Aralea Arboricola Trinet,28,1400,si,bolsa 6 litros,,,,,,,,
AAV03L003,Aralea Arboricola Verde,150,2747,si,bolsa 3 litros|bolsa 6 litros,,,,,,,,
AAZ20L009,Agave Azul,25,180,no,bolsa 20 litros|bolsa 3 litros,,,,,,,,
ABB04L077,Arandano Blue Berry,5,1087,si,bolsa 4 litros,,,,,,,,
ACA01L124,Acanto,143,471,si,bolsa 1 litros|bolsa 4 litros,,,,,,,,
ACA10L145,Aloe Camperi,10,0,no,bolsa 10 litros|maceta negra 11 pulgadas,,,,,,,,
ACH10P145,Aloe Chabaudii,9,0,no,maceta negra 10 pulgadas,,,,,,,,
ACI20L009,Agave Cimarron,24,15,no,bolsa 20 litros,,,,,,,,
ACO04L145,Aloe Cobre,52,0,no,bolsa 4 litros,,,,,,,,
ALO10L009,Alocasia Cuculata,30,248,si,bolsa 10 litros|maceta negra 15 pulgadas,,,,,,,,
ADE03L001,Adelfa Enana Fiusha,156,107,no,bolsa 3 litros,,,,,,,,
ADE03L009,Adelfa,89,17180,si,bolsa 3 litros|bolsa 10 litros,,,,,,,,
ADE08L001,Adenium,69,4302,si,bolsa 8 litros|maceta negra 6 pulgadas|maceta negra 8 pulgadas|maceta negra 12 pulgadas,,,,,,,,
ADI04P121,Arbol Del Dinero,30,371,si,maceta negra 4 pulgadas|bolsa 10 litros,,,,,,,,
ADI11P145,Aloe Dieri,9,0,no,maceta negra 11 pulgadas,,,,,,,,
AEL08L006,Aralea Elegantisima,30,2258,si,bolsa 8 litros|bolsa 20 litros|bolsa 60 litros|bolsa 3 litros,,,,,,,,
